Work_Title,Connection_Degree,Degree_Centrality_Score
Cyrillus Alexandrinus: De adoratione et cultu in spiritu et ueritate,3,0.06
Catenae (Novum Testamentum): Catena In Lucam,3,0.06
Chronicon Paschale: Chronicon Paschale,3,0.06
Cyril of Alexandria: In XII Prophetas,3,0.06
Stephanus of Alexandria: In Aristotelis librum de interpretatione commentarium,2,0.04
Galen: De compositione medicamentorum secundum locos,2,0.04
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),2,0.04
Hippocrates: De affectionibus interioribus,2,0.04
Hippocrates: De natura pueri,2,0.04
Galen: In Hippocratis Aphorismos,2,0.04
Hippocrates: De ulceribus,2,0.04
Hippocrates (Pseudo): Ἑρμηνεία περὶ ἐνεργῶν λίθων,2,0.04
Hippocrates: De superfoetatione,2,0.04
"Hippocrates: Epistulae, Decretum, Orationes",2,0.04
"Sozomenus, Salaminius Hermias: Historia Ecclesiastica",2,0.04
Hippocrates: De diaeta,2,0.04
Hippocrates: De muliebribus,2,0.04
Hippocrates: De morbis i-iii,2,0.04
Scholia in Pindarum: Scholia in Pindarum Olympian Odes,2,0.04
Clement of Alexandria: Protrepticus,2,0.04
Vettius Valens: Anthologiarum libri ix,2,0.04
pseudo-Aristotle: De mundo,2,0.04
Catenae (Novum Testamentum): Catena In Epistulam Ad Hebraeos,2,0.04
Hippocrates: De diaeta acutorum (spurium),2,0.04
Origen: Selecta in Psalmos [Dub.],2,0.04
Hippocrates: De natura hominis,2,0.04
"Socrates, Scholasticus: Historia Ecclesiastica",2,0.04
Hippocrates: De diaeta in morbis acutis,2,0.04
Hippocrates: Prorrheticon I,2,0.04
Agathias Scholasticus: Epigrammata,2,0.04
Epiphanius: Panarion (Adversus haereses),2,0.04
Clement of Alexandria: Paedagogus,2,0.04
Porphyrius: Historia philosophiae (fragmenta),2,0.04
Hippocrates: Epidemiarum,2,0.04
Septuaginta: Ἀριθμοί,2,0.04
>Catenae (Novum Testamentum): Catena In Epistulam I Ad Timotheum,2,0.04
Cebes: Cebetis tabula,2,0.04
Hippocrates: Aphorismi,2,0.04
Artemidorus: Onirocriticon,2,0.04
Theodoretus: Historia ecclesiastica,2,0.04
